ForNum,NatNum,gungu,resNm,rnum,sido,yyyymm
44722,75991,종로구,창덕궁,1,서울특별시,201112
0,11017,종로구,운현궁,2,서울특별시,201112
132399,237330,종로구,경복궁,3,서울특별시,201112
3133,21267,종로구,창경궁,4,서울특별시,201112
18226,24223,종로구,종묘,5,서울특별시,201112
0,233828,용산구,국립중앙박물관,6,서울특별시,201112
0,93554,종로구,서울역사박물관,7,서울특별시,201112
13935,52140,중구,덕수궁,8,서울특별시,201112
0,61115,중구,서울시립미술관 본관,9,서울특별시,201112
10,1885,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201112
0,32412,서대문구,서대문형무소역사관,11,서울특별시,201112
0,19308,서대문구,서대문자연사박물관,12,서울특별시,201112
5214,6956,마포구,트릭아이미술관,13,서울특별시,201112
333,1823,서초구,헌릉ㆍ인릉,14,서울특별시,201112
4704,16634,강남구,선릉·정릉,15,서울특별시,201112
52484,642290,송파구,롯데월드,16,서울특별시,201112
27814,28061,종로구,창덕궁,1,서울특별시,201212
546,5978,종로구,운현궁,2,서울특별시,201212
105370,133012,종로구,경복궁,3,서울특별시,201212
1451,15722,종로구,창경궁,4,서울특별시,201212
8817,8068,종로구,종묘,5,서울특별시,201212
13033,227077,용산구,국립중앙박물관,6,서울특별시,201212
1138,78179,종로구,서울역사박물관,7,서울특별시,201212
11151,44855,중구,덕수궁,8,서울특별시,201212
0,213467,중구,서울시립미술관 본관,9,서울특별시,201212
15,1252,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201212
6625,14090,서대문구,서대문형무소역사관,11,서울특별시,201212
0,18881,서대문구,서대문자연사박물관,12,서울특별시,201212
24492,9167,마포구,트릭아이미술관,13,서울특별시,201212
62,860,서초구,헌릉ㆍ인릉,14,서울특별시,201212
66868,670056,송파구,롯데월드,15,서울특별시,201212
25550,38553,종로구,창덕궁,1,서울특별시,201312
101942,145544,종로구,경복궁,2,서울특별시,201312
1986,20035,종로구,창경궁,3,서울특별시,201312
6048,13896,종로구,종묘,4,서울특별시,201312
9083,286992,용산구,국립중앙박물관,5,서울특별시,201312
13282,99301,중구,덕수궁,6,서울특별시,201312
6,706,노원구,태릉 ·  강릉 · 조선왕릉전시관,7,서울특별시,201312
6732,14607,서대문구,서대문형무소역사관,8,서울특별시,201312
0,23245,서대문구,서대문자연사박물관,9,서울특별시,201312
43129,11886,마포구,트릭아이미술관,10,서울특별시,201312
16,1248,서초구,헌릉ㆍ인릉,11,서울특별시,201312
1445,11890,강남구,선릉·정릉,12,서울특별시,201312
29928,41561,종로구,창덕궁,1,서울특별시,201412
129946,190501,종로구,경복궁,2,서울특별시,201412
1693,19473,종로구,창경궁,3,서울특별시,201412
3891,5951,종로구,종묘,4,서울특별시,201412
7195,258781,용산구,국립중앙박물관,5,서울특별시,201412
14723,44272,중구,덕수궁,6,서울특별시,201412
12,486,노원구,태릉 ·  강릉 · 조선왕릉전시관,7,서울특별시,201412
6263,27205,서대문구,서대문형무소역사관,8,서울특별시,201412
0,24527,서대문구,서대문자연사박물관,9,서울특별시,201412
42443,7478,마포구,트릭아이미술관,10,서울특별시,201412
5,1036,서초구,헌릉ㆍ인릉,11,서울특별시,201412
823,8869,강남구,선릉·정릉,12,서울특별시,201412
33342,59738,종로구,창덕궁,1,서울특별시,201512
170379,148961,종로구,경복궁,2,서울특별시,201512
1783,27172,종로구,창경궁,3,서울특별시,201512
3406,14936,종로구,종묘,4,서울특별시,201512
13127,281457,용산구,국립중앙박물관,5,서울특별시,201512
15197,68749,중구,덕수궁,6,서울특별시,201512
16,2221,노원구,태릉 ·  강릉 · 조선왕릉전시관,7,서울특별시,201512
5588,44232,서대문구,서대문형무소역사관,8,서울특별시,201512
0,22587,서대문구,서대문자연사박물관,9,서울특별시,201512
29520,8822,마포구,트릭아이미술관,10,서울특별시,201512
3,1647,서초구,헌릉ㆍ인릉,11,서울특별시,201512
492,14454,강남구,선릉·정릉,12,서울특별시,201512
